Name,Count
OLIVER ,"6,949"
JACK ,"6,212"
HARRY ,"5,888"
JACOB ,"5,126"
CHARLIE ,"5,039"
THOMAS ,"4,591"
OSCAR ,"4,511"
WILLIAM ,"4,268"
JAMES ,"4,236"
GEORGE ,"4,202"
ALFIE ,"4,138"
JOSHUA ,"3,973"
NOAH ,"3,830"
ETHAN ,"3,572"
MUHAMMAD ,"3,499"
ARCHIE ,"3,265"
LEO ,"3,264"
HENRY ,"3,248"
JOSEPH ,"3,225"
SAMUEL ,"3,188"
RILEY ,"3,122"
DANIEL ,"3,095"
MOHAMMED ,"2,887"
ALEXANDER ,"2,837"
MAX ,"2,836"
LUCAS ,"2,793"
MASON ,"2,724"
LOGAN ,"2,621"
ISAAC ,"2,569"
BENJAMIN ,"2,532"
DYLAN ,"2,393"
JAKE ,"2,311"
EDWARD ,"2,273"
FINLEY ,"2,154"
FREDDIE ,"2,089"
HARRISON ,"2,038"
TYLER ,"2,021"
SEBASTIAN ,"1,828"
ZACHARY ,"1,780"
ADAM ,"1,761"
THEO ,"1,759"
JAYDEN ,"1,657"
ARTHUR ,"1,559"
TOBY ,"1,431"
LUKE ,"1,415"
LEWIS ,"1,329"
MATTHEW ,"1,319"
HARVEY ,"1,276"
HARLEY ,"1,275"
DAVID ,"1,248"
RYAN ,"1,234"
TOMMY ,"1,207"
MICHAEL ,"1,200"
REUBEN ,"1,144"
NATHAN ,"1,131"
BLAKE ,"1,083"
MOHAMMAD ,"1,059"
JENSON ,"1,055"
BOBBY ,"1,049"
LUCA ,"1,034"
CHARLES ,"1,029"
FRANKIE ,"1,024"
DEXTER ,"1,019"
KAI ,"1,002"
ALEX ,986
CONNOR ,974
LIAM ,973
JAMIE ,912
ELIJAH ,908
STANLEY ,904
LOUIE ,868
JUDE ,867
CALLUM ,855
HUGO ,842
LEON ,837
ELLIOT ,829
LOUIS ,827
THEODORE ,822
GABRIEL ,818
OLLIE ,800
AARON ,778
FREDERICK ,766
EVAN ,723
ELLIOTT ,722
OWEN ,708
TEDDY ,698
FINLAY ,691
CALEB ,679
IBRAHIM ,677
RONNIE ,671
FELIX ,666
AIDEN ,665
CAMERON ,659
AUSTIN ,657
KIAN ,654
RORY ,652
SETH ,648
ROBERT ,645
ALBERT ,633
SONNY ,630
RHYS ,626
JOEY ,624
ELLIS ,619
KAYDEN ,606
JOEL ,594
JACKSON ,578
JOHN ,576
MUHAMMED ,561
DOMINIC ,555
KAIDEN ,544
JASPER ,534
BILLY ,531
BAILEY ,530
MAXWELL ,526
AYAAN ,523
FINN ,511
BRADLEY ,510
TAYLOR ,506
YUSUF ,506
KYLE ,504
REGGIE ,497
OLLY ,496
CODY ,494
ROWAN ,494
TOBIAS ,490
PATRICK ,477
NATHANIEL ,469
SAM ,465
CARTER ,463
HAYDEN ,463
COREY ,461
CHRISTOPHER ,455
ROMAN ,448
ELI ,440
FILIP ,439
ALFRED ,430
ALI ,428
TRISTAN ,426
ALBIE ,424
BEN ,423
JESSE ,417
NICHOLAS ,417
AIDAN ,415
ZAC ,410
REECE ,408
ROCCO ,403
JAXON ,402
ANTHONY ,400
ASHTON ,397
LEIGHTON ,394
MORGAN ,387
JAKUB ,380
FLYNN ,376
ANDREW ,374
JASON ,372
RUBEN ,370
SYED ,370
RALPH ,359
MILO ,351
SPENCER ,349
COLE ,348
AHMED ,345
VINCENT ,344
ZACK ,344
BRANDON ,343
LEVI ,342
JONATHAN ,341
KACPER ,335
ABDULLAH ,333
BRODY ,331
JONAH ,329
XAVIER ,328
MOHAMED ,327
MARCUS ,321
BEAU ,318
LAYTON ,317
KEVIN ,315
MYLES ,315
TED ,314
MILES ,313
ZAK ,313
PETER ,312
MAXIMILIAN ,309
JENSEN ,305
ALAN ,302
MARLEY ,302
ABDUL ,300
OSKAR ,297
ARLO ,295
KIERAN ,294
MUSA ,293
EWAN ,291
LUKAS ,291
JOE ,285
MAXIMUS ,284
LEONARDO ,283
RAYYAN ,282
COOPER ,281
DECLAN ,281
ZAIN ,281
HAMZA ,280
JAY ,276
ADRIAN ,273
LINCOLN ,271
CHASE ,270
MUSTAFA ,268
FRASER ,267
DANNY ,261
OMAR ,258
OAKLEY ,256
HUNTER ,254
BARNABY ,251
KYE ,249
RUPERT ,249
JORDAN ,243
MARK ,243
PRESTON ,242
CHRISTIAN ,239
TOM ,239
ROHAN ,238
VINNIE ,235
RIO ,234
YAHYA ,234
ZAKARIYA ,234
JAIDEN ,233
DOMINIK ,231
EMMANUEL ,230
RAYAN ,229
ZACH ,229
ELIAS ,226
GRAYSON ,224
LENNON ,224
SIDNEY ,222
RAPHAEL ,221
ERIC ,219
FRANK ,219
RUFUS ,217
EESA ,214
MALACHI ,213
SEAN ,213
FRANCIS ,210
FREDDY ,210
VICTOR ,210
ZAYN ,209
WILFRED ,205
CONOR ,204
