Name,Count
AMELIA ,5570
OLIVIA ,4598
EMILY ,4049
AVA ,3575
ISLA ,3526
JESSICA ,3507
POPPY ,3422
ISABELLA ,3246
SOPHIE ,3013
MIA ,2993
RUBY ,2948
LILY ,2883
GRACE ,2799
EVIE ,2767
SOPHIA ,2764
ELLA ,2722
SCARLETT ,2643
CHLOE ,2401
ISABELLE ,2287
FREYA ,2266
CHARLOTTE ,2242
SIENNA ,2211
DAISY ,2168
PHOEBE ,1992
MILLIE ,1962
EVA ,1822
ALICE ,1749
LUCY ,1683
FLORENCE ,1646
SOFIA ,1610
LAYLA ,1588
LOLA ,1574
HOLLY ,1546
IMOGEN ,1538
MOLLY ,1469
MATILDA ,1446
LILLY ,1386
ROSIE ,1369
ELIZABETH ,1357
ERIN ,1328
MAISIE ,1265
LEXI ,1264
ELLIE ,1249
HANNAH ,1243
EVELYN ,1227
ABIGAIL ,1191
ELSIE ,1181
SUMMER ,1179
MEGAN ,1154
JASMINE ,1132
MAYA ,1120
AMELIE ,1095
LACEY ,1081
WILLOW ,1074
EMMA ,1045
BELLA ,1042
ELEANOR ,1039
ESME ,1032
ELIZA ,1007
GEORGIA ,1003
HARRIET ,1001
GRACIE ,986
ANNABELLE ,967
EMILIA ,961
AMBER ,904
IVY ,867
BROOKE ,856
ROSE ,823
ANNA ,812
ZARA ,780
LEAH ,775
MOLLIE ,775
MARTHA ,756
FAITH ,735
HOLLIE ,733
AMY ,718
BETHANY ,710
VIOLET ,709
KATIE ,705
MARYAM ,701
FRANCESCA ,679
JULIA ,678
MARIA ,657
DARCEY ,651
ISABEL ,645
TILLY ,627
MADDISON ,622
VICTORIA ,619
ISOBEL ,615
NIAMH ,596
SKYE ,595
MADISON ,591
DARCY ,588
AISHA ,584
BEATRICE ,583
SARAH ,574
ZOE ,573
PAIGE ,572
HEIDI ,561
LYDIA ,552
SARA ,552
ALEXANDRA ,543
DARCIE ,540
LOTTIE ,539
ELOISE ,537
IRIS ,505
NEVAEH ,504
LARA ,503
SEREN ,494
KEIRA ,488
NANCY ,487
ANNABEL ,484
FATIMA ,484
CAITLIN ,478
LEXIE ,478
LYLA ,478
REBECCA ,478
GABRIELLA ,472
ROBYN ,470
ALEXIS ,466
AALIYAH ,463
THEA ,463
MYA ,457
MILA ,456
ANNIE ,443
LAUREN ,442
LIBBY ,434
LENA ,427
ZAINAB ,420
PENELOPE ,411
EVE ,408
ORLA ,405
SAVANNAH ,403
HOPE ,396
MAJA ,396
EDEN ,392
LOIS ,391
NICOLE ,389
CLARA ,381
NAOMI ,376
FELICITY ,373
INDIA ,370
LEILA ,364
TIA ,361
LAILA ,360
LAURA ,359
NATALIA ,359
SADIE ,353
ALICIA ,351
CONNIE ,351
BETSY ,350
MACIE ,341
ESMAE ,333
ANYA ,332
ANAYA ,330
LILLIE ,330
ARABELLA ,329
ESTHER ,329
ELENA ,328
HARPER ,322
ALYSSA ,321
ALEENA ,319
ALEXA ,319
EDITH ,318
ALISHA ,316
MILEY ,316
MADELEINE ,314
ZAHRA ,314
KAYLA ,312
LUCIA ,312
BONNIE ,309
AYLA ,304
ELISE ,303
GEORGINA ,303
ZOYA ,302
SKYLA ,301
ANGEL ,299
BEAU ,295
HANNA ,294
SCARLET ,289
ZUZANNA ,289
FAYE ,287
ELSA ,286
PIPPA ,284
EMELIA ,283
ARIANA ,282
MAISY ,282
MYLA ,281
AIMEE ,279
NINA ,279
TABITHA ,278
AOIFE ,277
NEVE ,277
ELODIE ,274
FRANKIE ,273
MARIAM ,264
AUTUMN ,261
AMAYA ,256
AMIRA ,256
TAYLOR ,255
YASMIN ,251
AMINA ,250
AYESHA ,250
KHADIJA ,249
ROSA ,249
INAAYA ,248
ALANA ,247
ALEXIA ,247
KHADIJAH ,247
JESSIE ,243
SAFA ,241
EDIE ,240
NADIA ,239
AMELIA-ROSE ,237
ARIA ,237
DELILAH ,237
LANA ,237
LYRA ,236
LACIE ,234
EBONY ,233
LUCIE ,233
ABBIE ,230
JEMIMA ,230
LILIANA ,226
LUNA ,224
JENNIFER ,222
MAGGIE ,220
RACHEL ,220
MELISSA ,219
CATHERINE ,218
KATHERINE ,218
EMILIE ,217
DEMI ,216
LILY-ROSE ,216
OLIVE ,216
AIZA ,213
HAFSA ,213
POLLY ,210
CARA ,208
KAITLYN ,207
MAIA ,207
EMMIE ,205
MACEY ,205
MARY ,203
NATALIE ,203
TIANA ,202
BEATRIX ,200
GEORGIE ,199
LILY-MAE ,198
APRIL ,195
ELLIE-MAE ,191
JOSIE ,191
MICHELLE ,191
PENNY ,190
TALIA ,189
TALLULAH ,188
ARYA ,187
AURORA ,187
JOSEPHINE ,187
ESMEE ,185
CAITLYN ,183
MELODY ,183
AMINAH ,181
GABRIELLE ,180
GABRIELA ,179
MABEL ,179
CONSTANCE ,178
HALLE ,178
SYEDA ,176
FFION ,175
LILAH ,175
PEARL ,173
HALLIE ,172
LILLY-MAY ,172
NIA ,172
DOLLY ,171
ELIANA ,171
HONEY ,171
SKYLAR ,171
ADA ,168
CLAUDIA ,168
MACY ,168
OLIWIA ,168
HATTIE ,166
INAYAH ,166
VANESSA ,166
CASEY ,165
INAYA ,165
MADDIE ,163
DESTINY ,161
LILA ,161
NATASHA ,161
ALIZA ,160
CERYS ,160
KIERA ,160
MARNIE ,160
KITTY ,159
CHARLIE ,158
INDIE ,158
HANA ,157
PEYTON ,157
NIKOLA ,156
ANASTASIA ,155
LOUISA ,154
ZOFIA ,154
COURTNEY ,152
FATIMAH ,152
LILLY-ROSE ,152
OPHELIA ,152
PHILIPPA ,152
VALENTINA ,152
ALICJA ,151
IQRA ,150
ZAYNAB ,150
ALIYAH ,149
CORA ,149
SAPPHIRE ,148
HAZEL ,147
IZABELLA ,147
KATE ,147
BELLE ,146
ALINA ,145
ARIANNA ,145
EVANGELINE ,144
LILLY-MAE ,144
SAMANTHA ,144
AURELIA ,142
CARYS ,141
AMARA ,140
ANNABELLA ,140
BETHAN ,140
ELLA-ROSE ,140
KYRA ,140
RIA ,139
NICOLA ,138
IYLA ,137
PRIYA ,137
AAMINAH ,136
HELENA ,135
LILLIAN ,135
KYLA ,134
LILIA ,133
DANIELLA ,132
TEGAN ,132
AVA-ROSE ,131
IMAAN ,131
NELL ,131
NOOR ,131
STELLA ,131
AMIRAH ,130
CHELSEA ,130
KARA ,130
ANTONIA ,129
CIARA ,129
HALIMA ,128
LILY-MAY ,128
MIRIAM ,128
CLEO ,127
CRYSTAL ,127
DANIELLE ,127
DIANA ,127
VERITY ,127
ANNALISE ,126
ASHLEIGH ,126
ELLIE-MAY ,126
ELLEN ,124
LOUISE ,124
BETH ,123
ELISA ,123
MILLY ,123
MINNIE ,123
TIFFANY ,122
KELSEY ,121
LIBERTY ,121
MADELINE ,121
JADE ,120
SASHA ,120
ALBA ,118
ALESHA ,118
SYDNEY ,118
KHLOE ,116
TIANNA ,115
ERICA ,114
HALEEMA ,114
TILLIE ,114
ALEKSANDRA ,113
ISOBELLE ,113
KACEY ,112
LIYANA ,112
CALLIE ,111
KIARA ,111
SABRINA ,110
HAYLEY ,109
JASMIN ,108
POPPIE ,108
ROSALIE ,108
ANA ,107
DOROTHY ,107
PARIS ,107
RUTH ,107
AMEERA ,106
DIYA ,106
GRACIE-MAE ,106
LACEY-MAE ,106
MILENA ,106
LEYLA ,105
WIKTORIA ,105
ANGELINA ,104
CHARLEY ,104
SAFAA ,104
SANA ,104
SERENA ,104
STEPHANIE ,104
YUSRA ,104
ANAYAH ,102
ANIKA ,102
FLEUR ,102
HAFSAH ,102
KATELYN ,102
SIENA ,102
ANABELLE ,101
HARMONY ,101
JENNA ,101
KAYLEIGH ,101
SALMA ,101
ALYS ,100
FLORA ,100
LIVIA ,100
NYLA ,100
MAISEY ,99
TARA ,99
AYA ,98
SYLVIE ,98
IONA ,97
ISHA ,97
KATY ,97
ATHENA ,96
AUDREY ,96
HARLEY ,96
ISLA-ROSE ,96
VIVIENNE ,96
JOANNA ,95
MANHA ,95
MORGAN ,95
EMMELINE ,94
LAIBA ,94
MALAIKA ,94
MALI ,94
SASKIA ,94
ANAIS ,93
BIANCA ,93
BLOSSOM ,93
GENEVIEVE ,93
KIRA ,93
MAE ,93
BETTY ,92
ELISSA ,92
LILLIE-MAE ,92
MAIZIE ,92
ADRIANA ,91
ALEEZA ,91
BILLIE ,91
EMMY ,91
KEELEY ,91
QUINN ,91
ALANNAH ,90
ALAYNA ,90
AYANA ,90
ELIN ,90
FRANCES ,90
KIMBERLEY ,90
MIA-ROSE ,90
RUBIE ,90
SAFIYYAH ,90
SIMRAN ,90
BAILEY ,89
ELLA-MAE ,89
JORGIE ,89
CLEMENTINE ,88
ELA ,88
HIBA ,88
JANNAT ,88
NORA ,88
ALESSIA ,87
AMNA ,87
DARIA ,87
EVIE-MAE ,87
HENRIETTA ,87
IMAN ,87
KAYA ,87
MARWA ,87
BROOKLYN ,86
FEARNE ,86
INES ,86
LILI ,86
LOLA-ROSE ,86
MARLEY ,86
PIPER ,86
RHEA ,86
ARIELLA ,85
ISRA ,85
MACI ,85
SAFFRON ,85
AIZAH ,84
ALYSSIA ,83
ELISHA ,83
FARRAH ,83
HAREEM ,83
CHRISTINA ,82
DOLCIE ,82
EFFIE ,82
ESHAL ,82
PIXIE ,82
SIENNA-ROSE ,82
AQSA ,81
EMILIJA ,81
MAY ,81
SAOIRSE ,81
ALIYA ,80
ASHLEY ,80
CARMEN ,80
EVIE-ROSE ,80
JULIETTE ,80
KACIE ,80
LINA ,80
NIEVE ,80
SAFIYA ,80
AYSHA ,79
BELLA-ROSE ,79
INDI ,79
MYAH ,79
OLIVIA-ROSE ,79
RIYA ,79
SHANNON ,79
WREN ,79
EADIE ,78
KARINA ,78
MILLICENT ,78
SHANIA ,78
TAMARA ,78
TANISHA ,78
HERMIONE ,77
IDA ,77
MARGARET ,77
RUQAYYAH ,77
SUMAYYAH ,77
AMANI ,76
CECILIA ,76
HUMAIRA ,76
LEIA ,76
DAKOTA ,75
EMAAN ,75
MICHAELA ,75
KAITLIN ,74
KAROLINA ,74
NYAH ,74
RENEE ,74
RUBY-MAE ,74
SAFIA ,74
SUMAYA ,74
AMALIE ,73
CARLA ,73
COCO ,73
DAISY-MAE ,73
ESMAI ,73
LIA ,73
SCARLETT-ROSE ,73
TEAGAN ,73
ALIA ,72
ANGELA ,72
LEXI-MAE ,72
ROWAN ,72
SKYLER ,72
YASMINE ,72
ALIVIA ,71
