Name,Count,
OLIVER ,"6,649",
JACK ,"5,804",
HARRY ,"5,379",
JACOB ,"5,050",
CHARLIE ,"4,642",
THOMAS ,"4,405",
GEORGE ,"4,320",
OSCAR ,"4,269",
JAMES ,"4,167",
WILLIAM ,"4,134",
NOAH ,"4,085",
ALFIE ,"3,868",
JOSHUA ,"3,812",
MUHAMMAD ,"3,588",
HENRY ,"3,572",
LEO ,"3,414",
ARCHIE ,"3,099",
ETHAN ,"3,061",
JOSEPH ,"3,041",
FREDDIE ,"3,023",
SAMUEL ,"3,021",
ALEXANDER ,"2,978",
LOGAN ,"2,813",
DANIEL ,"2,775",
ISAAC ,"2,636",
MAX ,"2,602",
MOHAMMED ,"2,536",
BENJAMIN ,"2,490",
MASON ,"2,470",
LUCAS ,"2,445",
EDWARD ,"2,417",
HARRISON ,"2,214",
JAKE ,"2,207",
DYLAN ,"2,188",
RILEY ,"2,177",
FINLEY ,"2,115",
THEO ,"2,008",
SEBASTIAN ,"1,965",
ADAM ,"1,790",
ZACHARY ,"1,670",
ARTHUR ,"1,649",
TOBY ,"1,352",
JAYDEN ,"1,334",
LUKE ,"1,322",
HARLEY ,"1,303",
LEWIS ,"1,236",
TYLER ,"1,235",
HARVEY ,"1,228",
MATTHEW ,"1,216",
DAVID ,"1,209",
REUBEN ,"1,166",
MICHAEL ,"1,139",
ELIJAH ,"1,125",
KIAN ,"1,123",
TOMMY ,"1,120",
MOHAMMAD ,"1,116",
BLAKE ,"1,106",
LUCA ,"1,101",
THEODORE ,"1,090",
STANLEY ,"1,059",
JENSON ,"1,058",
NATHAN ,"1,055",
CHARLES ,"1,037",
FRANKIE ,"1,030",
JUDE ,"1,018",
TEDDY ,"1,017",
LOUIE ,"1,015",
LOUIS ,999,
RYAN ,989,
HUGO ,956,
BOBBY ,922,
ELLIOTT ,914,
DEXTER ,908,
OLLIE ,906,
ALEX ,903,
LIAM ,902,
KAI ,858,
GABRIEL ,842,
CONNOR ,841,
AARON ,819,
FREDERICK ,815,
CALLUM ,803,
ELLIOT ,780,
ALBERT ,778,
LEON ,765,
RONNIE ,756,
RORY ,755,
JAMIE ,749,
AUSTIN ,707,
SETH ,694,
IBRAHIM ,669,
OWEN ,663,
CALEB ,648,
ELLIS ,641,
SONNY ,640,
ROBERT ,631,
JOEY ,627,
FELIX ,614,
FINLAY ,611,
JACKSON ,602,
JOHN ,601,
EVAN ,596,
AIDEN ,594,
AYAAN ,586,
YUSUF ,581,
BAILEY ,571,
JASPER ,570,
JOEL ,570,
REGGIE ,568,
ROMAN ,557,
MUHAMMED ,548,
JESSE ,546,
CODY ,541,
KAYDEN ,537,
JAXON ,535,
PATRICK ,535,
ALBIE ,534,
CARTER ,530,
MAXWELL ,525,
TOBIAS ,524,
DOMINIC ,521,
BILLY ,516,
CAMERON ,513,
