Name,Count,
OLIVIA ,5017,
AMELIA ,4777,
EMILY ,3551,
ISLA ,3476,
AVA ,3285,
ISABELLA ,2729,
LILY ,2722,
JESSICA ,2703,
ELLA ,2702,
MIA ,2662,
SOPHIA ,2636,
CHARLOTTE ,2596,
POPPY ,2506,
SOPHIE ,2505,
GRACE ,2498,
EVIE ,2487,
ALICE ,2264,
SCARLETT ,2096,
FREYA ,2079,
FLORENCE ,2072,
ISABELLE ,2066,
DAISY ,2020,
CHLOE ,1980,
PHOEBE ,1975,
MATILDA ,1915,
RUBY ,1904,
EVELYN ,1877,
SIENNA ,1815,
SOFIA ,1683,
EVA ,1641,
ELSIE ,1574,
WILLOW ,1536,
IVY ,1509,
MILLIE ,1456,
ESME ,1416,
ROSIE ,1403,
IMOGEN ,1400,
ELIZABETH ,1384,
MAYA ,1374,
LAYLA ,1358,
EMILIA ,1356,
LOLA ,1298,
LUCY ,1273,
HARPER ,1256,
ELIZA ,1226,
ERIN ,1212,
ELEANOR ,1147,
ELLIE ,1142,
HARRIET ,1132,
THEA ,1132,
MAISIE ,1111,
HOLLY ,1098,
EMMA ,1080,
GEORGIA ,1078,
AMBER ,1066,
MOLLY ,1041,
HANNAH ,1033,
ABIGAIL ,1023,
JASMINE ,1018,
LILLY ,1014,
ANNABELLE ,1009,
ROSE ,974,
PENELOPE ,972,
AMELIE ,964,
VIOLET ,959,
BELLA ,946,
ARIA ,926,
ZARA ,876,
MARIA ,853,
NANCY ,842,
DARCIE ,791,
LOTTIE ,782,
ANNA ,779,
SUMMER ,760,
MARTHA ,756,
HEIDI ,752,
GRACIE ,744,
LUNA ,715,
MARYAM ,711,
BEATRICE ,685,
MILA ,679,
DARCEY ,662,
MEGAN ,658,
IRIS ,648,
LEXI ,626,
ROBYN ,622,
AISHA ,617,
CLARA ,611,
FRANCESCA ,611,
SARA ,606,
VICTORIA ,586,
ZOE ,584,
JULIA ,578,
ARABELLA ,577,
MADDISON ,576,
SARAH ,572,
FELICITY ,570,
DARCY ,566,
LEAH ,564,
LYDIA ,563,
EDITH ,558,
BROOKE ,557,
BETHANY ,556,
LYLA ,553,
AURORA ,552,
LACEY ,539,
ORLA ,537,
ANNIE ,534,
NIAMH ,525,
ISABEL ,514,
PAIGE ,505,
ELOISE ,503,
ALEXANDRA ,502,
BONNIE ,500,
ESMAE ,495,
HOLLIE ,495,
EDEN ,493,
ANAYA ,484,
FAITH ,484,
LARA ,484,
SKYE ,482,
FATIMA ,479,
AALIYAH ,478,
ARIANA ,475,
MOLLIE ,465,
MADISON ,462,
PIPPA ,458,
AYLA ,449,
AMY ,440,
NEVAEH ,435,
SAVANNAH ,432,
FRANKIE ,430,
KATIE ,426,
MYA ,421,
EDIE ,415,
ISOBEL ,412,
ZAINAB ,410,
LENA ,407,
GABRIELLA ,406,
TILLY ,403,
HANNA ,400,
DELILAH ,399,
CONNIE ,387,
HALLIE ,385,
SEREN ,378,
ESTHER ,375,
MARNIE ,373,
LILLIE ,368,
OLIVE ,368,
LAURA ,366,
ELENA ,361,
AUTUMN ,360,
SKYLA ,360,
BETSY ,359,
ZAHRA ,359,
REBECCA ,356,
NINA ,354,
ANNABEL ,350,
AMAYA ,349,
INAAYA ,349,
ALEXIS ,348,
HOPE ,348,
PAISLEY ,348,
ADA ,341,
NATALIA ,341,
ELODIE ,339,
ALEXA ,332,
BEATRIX ,330,
NAOMI ,330,
LILIANA ,328,
ZUZANNA ,327,
ALANA ,320,
SADIE ,319,
KEIRA ,316,
MYLA ,316,
MADELEINE ,311,
ELISE ,310,
KHADIJA ,305,
PENNY ,305,
ARYA ,302,
NICOLE ,300,
ANASTASIA ,299,
MAJA ,296,
MAGGIE ,295,
ALISHA ,294,
AOIFE ,293,
MARGOT ,293,
GEORGINA ,292,
ROSA ,290,
EVE ,289,
PIPER ,289,
LOIS ,287,
LAUREN ,283,
LEILA ,282,
ALIZA ,279,
SKYLAR ,278,
AMIRA ,277,
ALEENA ,268,
ALYSSA ,268,
LIBBY ,268,
ALICIA ,266,
AMELIA-ROSE ,265,
LUCIA ,264,
AYESHA ,262,
APRIL ,259,
HATTIE ,257,
AIZAH ,255,
HAZEL ,255,
LAILA ,254,
MABEL ,250,
TABITHA ,249,
LYRA ,248,
NEVE ,248,
GEORGIE ,247,
ZOYA ,244,
AMINA ,243,
INDIA ,240,
MARIAM ,240,
ANYA ,239,
MELISSA ,239,
JEMIMA ,237,
CAITLIN ,236,
EMELIA ,234,
AMARA ,233,
NADIA ,233,
YASMIN ,229,
BEAU ,228,
CLEO ,228,
KHADIJAH ,228,
LEXIE ,228,
EMMIE ,227,
ESMEE ,223,
PRIMROSE ,223,
POLLY ,222,
ZOFIA ,221,
MAIA ,219,
CARA ,218,
SAFA ,217,
FAYE ,215,
ARIANNA ,214,
ALEXIA ,213,
LANA ,213,
PEARL ,210,
CONSTANCE ,209,
JESSIE ,208,
ALBA ,205,
ANTONIA ,205,
GABRIELA ,205,
JENNIFER ,205,
HANIYA ,204,
MARY ,204,
ELLA-ROSE ,203,
JOSEPHINE ,201,
ELIANA ,200,
HALLE ,200,
ANAYAH ,197,
SYEDA ,197,
TALIA ,197,
LILY-ROSE ,196,
EMILIE ,195,
ALICJA ,194,
BELLE ,194,
CORA ,193,
KAYLA ,193,
RACHEL ,193,
HANA ,192,
LILAH ,187,
ATHENA ,186,
MACIE ,186,
HONEY ,185,
HAFSA ,184,
ZAYNAB ,184,
NIA ,183,
DOROTHY ,181,
MINNIE ,181,
INDIE ,180,
MELODY ,180,
AIZA ,179,
AURELIA ,179,
ALIYAH ,178,
HELENA ,178,
SCARLET ,178,
NORA ,177,
OPHELIA ,177,
PEYTON ,176,
TIA ,176,
LILA ,175,
TALLULAH ,175,
LOUISA ,174,
KATHERINE ,172,
DIANA ,171,
FLORA ,171,
ANGEL ,169,
HARLEY ,169,
JORGIE ,169,
LILLIAN ,169,
FLEUR ,168,
ANA ,167,
ALESSIA ,166,
HARLOW ,166,
MAISY ,165,
RILEY ,165,
AVA-ROSE ,164,
CALLIE ,163,
CATHERINE ,163,
MADDIE ,163,
ANNABELLA ,162,
LUCIE ,161,
VALENTINA ,160,
DOLLY ,159,
NELLIE ,159,
OTTILIE ,159,
IDA ,158,
NOOR ,158,
ALAYNA ,157,
ALINA ,157,
AMIRAH ,157,
AUDREY ,157,
KIARA ,157,
AMINAH ,156,
MIRIAM ,156,
OLIWIA ,155,
FATIMAH ,154,
FFION ,154,
ISLA-ROSE ,154,
JOSIE ,154,
LIYANA ,154,
NYLA ,154,
IMAAN ,152,
ELISA ,151,
NATALIE ,150,
QUINN ,150,
PHILIPPA ,149,
WREN ,147,
CLAUDIA ,146,
EFFIE ,146,
EVANGELINE ,146,
ARIELLA ,145,
EBONY ,145,
IYLA ,145,
FEARNE ,143,
TAYLOR ,143,
RIVER ,141,
STELLA ,141,
ERICA ,139,
NELL ,139,
KARA ,138,
NORAH ,138,
INAYAH ,137,
LILY-MAE ,137,
MADELINE ,137,
MICHELLE ,136,
ROSALIE ,136,
STEPHANIE ,135,
VERITY ,135,
ANAIS ,134,
CAITLYN ,134,
IQRA ,134,
