Weight_N,Height_mm,Head_Circumference_mm,Shoulder_Breadth_mm,Hand_Length_mm,Hand_Breadth_mm,Chest_Circumference_mm,Waist_Circumference_mm,Foot_Length_mm,Foot_Breadth_mm,Gender,Age_months
119,855,479,224,93,45,473,457,129,58,M,24
142,879,497,276,96,48,548,510,135,63,M,24
152,909,481,239,104,52,523,493,144,57,M,24
129,872,504,239,102,44,489,479,136,56,M,25
118,874,461,235,103,45,470,461,137,61,M,25
148,875,505,252,101,51,513,467,132,61,M,25
121,899,496,246,104,53,498,472,145,60,M,25
102,813,497,213,87,42,464,422,116,56,M,26
120,858,494,242,94,50,481,475,130,55,M,26
129,865,504,211,105,53,480,471,136,62,M,26
129,881,485,239,86,43,491,459,139,62,M,26
126,886,512,224,98,52,471,464,133,59,M,26
143,895,484,250,112,54,507,493,153,64,M,27
124,878,489,236,101,51,503,459,141,62,M,28
122,885,480,237,100,50,509,448,138,60,M,28
128,887,504,233,91,50,490,444,129,61,M,28
127,920,487,240,104,52,491,450,142,60,M,28
131,921,487,227,101,56,479,448,151,63,M,28
107,833,458,213,93,46,450,428,128,56,M,29
138,876,494,238,88,53,502,486,132,62,M,29
140,885,494,233,106,50,517,461,144,60,M,29
120,889,494,230,95,50,492,421,137,61,M,29
117,893,480,227,95,44,482,457,137,56,M,29
124,930,488,233,105,49,462,479,153,60,M,29
141,938,522,227,104,54,498,433,154,61,M,29
145,944,531,246,106,56,507,492,154,66,M,29
143,912,512,240,105,50,528,502,141,60,M,30
140,931,494,242,105,50,505,461,150,67,M,30
147,935,498,235,106,51,520,505,153,61,M,30
148,951,483,258,105,53,523,487,150,61,M,30
148,974,510,245,107,59,492,506,155,66,M,30
158,981,511,260,111,54,522,508,159,67,M,30
194,1029,519,257,126,59,537,509,178,64,M,30
137,929,494,238,106,53,513,484,146,58,M,31
146,930,488,235,108,53,532,505,144,63,M,31
123,885,460,232,96,42,471,460,138,53,M,32
154,965,513,269,118,52,521,552,163,67,M,32
188,993,500,274,123,59,562,571,174,72,M,32
135,893,488,230,100,49,505,488,138,65,M,33
140,933,503,243,107,51,492,512,143,63,M,33
130,959,492,241,109,54,515,448,154,61,M,33
164,972,516,262,107,49,528,514,155,60,M,33
122,884,493,244,101,46,484,437,145,57,M,34
133,910,497,251,109,51,520,468,146,59,M,34
132,918,508,228,102,51,492,487,141,60,M,34
149,941,495,229,108,60,510,486,153,67,M,34
150,943,495,248,107,51,518,509,150,62,M,34
148,948,490,237,110,60,505,444,159,67,M,34
147,950,505,251,111,53,529,483,162,62,M,34
127,890,501,235,97,46,495,472,130,59,M,35
140,917,510,250,109,51,516,449,148,62,M,35
131,924,518,237,102,51,512,469,145,58,M,35
120,908,498,235,99,47,504,440,143,56,M,36
140,913,511,250,106,50,524,499,141,62,M,36
141,944,504,245,108,52,493,460,151,69,M,36
151,950,525,244,115,56,496,481,152,62,M,36
140,953,488,258,112,51,500,515,161,62,M,36
156,962,504,254,116,52,502,499,156,64,M,36
153,985,494,265,117,52,542,498,161,66,M,36
162,997,501,245,117,57,531,506,161,64,M,36
155,1002,515,257,108,53,527,485,156,63,M,36
166,1004,484,269,111,56,532,525,155,67,M,36
167,1004,539,260,111,60,535,499,158,67,M,36
172,1006,524,265,113,56,549,519,157,67,M,36
164,1017,530,259,120,58,528,502,163,72,M,36
192,1070,514,269,122,55,561,527,169,69,M,36
203,1085,538,287,117,56,587,556,167,70,M,36
136,936,482,236,96,49,485,449,149,58,M,37
145,944,485,243,106,47,499,474,146,58,M,37
149,947,482,237,101,53,514,482,154,64,M,37
157,972,527,252,113,50,513,479,158,69,M,37
155,976,472,263,119,56,547,514,156,72,M,37
160,983,511,269,118,51,532,479,154,56,M,37
205,994,530,276,117,61,575,606,169,70,M,37
125,909,501,241,107,49,507,453,141,60,M,38
132,918,477,247,108,45,498,485,147,55,M,38
146,925,495,254,106,50,531,512,151,62,M,38
129,934,493,239,113,52,485,421,158,59,M,38
137,939,500,235,105,53,531,482,147,63,M,38
136,946,476,241,110,53,488,442,151,60,M,38
148,947,485,248,103,50,508,495,144,59,M,38
