Age,Sex,Wing,Weight,Year
A,M,133,95,2006
A,M,134,106,2012
A,M,135,125,1994
A,M,135,113,1994
A,M,135,111,1994
A,M,134,105,1994
F,M,136,111,2004
F,M,127,103,2004
F,M,127,102,2004
F,M,126,104,2004
F,F,125,97,2004
F,M,135,102,2004
F,M,135,126,2004
F,M,135,121,2004
J,U,125,88,2004
J,U,123,90,2004
F,M,135,101,2004
J,M,129,100,2004
F,M,129,98,2005
F,M,129,97,2005
A,M,132,107,2005
J,F,123,94,2004
F,F,124,104,2005
F,F,122,99,2005
F,M,129,102,2004
F,M,127,106,2005
F,M,128,106,2005
A,F,128,96,2004
A,F,128,96,2005
A,F,,88,2005
F,F,128,100,2004
F,F,129,105,2005
F,F,127,97,2005
A,F,130,126,2005
A,F,129,104,2006
A,F,130,100,2007
A,F,130,103,2008
A,F,130,107,2008
A,M,135,131,2004
A,M,135,121,2005
A,M,136,112,2005
A,M,136,106,2005
A,M,136,101,2005
A,M,137,98,2005
F,M,135,101,2005
A,M,135,99,2005
A,M,135,134,2005
A,M,135,127,2005
A,M,136,128,2005
A,M,135,122,2005
A,M,136,132,2005
A,M,135,120,2006
A,M,135,112,2006
A,M,135,99,2006
A,M,135,102,2006
A,M,135,100,2006
A,M,135,98,2006
A,M,135,99,2006
A,M,133,97,2006
F,F,124,102,2004
F,M,127,100,2004
A,F,125,106,2004
A,F,125,100,2005
A,F,127,108,2006
F,M,129,111,2004
A,M,132,102,2004
A,M,130,88,2008
F,M,131,110,2004
F,M,131,110,2004
F,M,131,98,2005
F,M,130,94,2005
F,M,130,96,2005
A,M,132,121,2005
A,M,132,125,2005
A,M,132,132,2006
A,M,130,96,2007
A,M,134,140,2007
A,M,132,109,2008
A,M,132,94,2008
A,M,132,89,2008
A,M,132,93,2009
A,M,132,96,2009
A,M,130,91,2009
F,F,125,109,2004
A,F,127,95,2004
A,F,129,100,2004
F,M,127,111,2004
F,M,124,109,2005
F,M,123,105,2005
F,M,124,105,2005
F,M,123,100,2005
F,M,123,89,2005
F,M,122,92,2005
F,M,122,88,2005
F,M,128,99,2004
F,F,125,104,2004
A,F,131,127,2004
A,M,136,119,2005
A,F,130,110,2005
A,M,137,120,2005
A,M,136,114,2005
A,M,137,127,2005
A,M,136,136,2005
A,M,137,126,2005
A,M,135,102,2005
F,F,124,104,2005
F,M,129,102,2005
A,F,134,112,2005
A,F,134,103,2005
F,F,134,115,2005
F,F,135,110,2005
F,M,134,115,2005
A,M,137,114,2006
A,M,137,105,2007
A,M,137,104,2008
A,M,,103,2008
A,M,,103,2008
A,M,134,104,2009
A,M,137,105,2009
A,M,138,94,2011
F,F,122,89,2005
F,F,122,86,2005
F,F,122,90,2005
F,M,130,116,2005
A,F,132,108,2005
A,M,139,132,2005
A,M,139,116,2005
A,M,139,113,2005
A,M,139,119,2005
A,M,139,123,2005
A,M,138,115,2007
A,M,139,112,2007
F,F,126,102,2005
A,F,135,116,2005
A,F,134,110,2005
A,F,126,111,2005
A,F,126,109,2005
A,F,126,121,2005
A,M,141,127,2005
F,F,121,94,2005
A,M,143,109,2005
A,M,143,103,2005
F,M,129,103,2005
A,F,129,104,2005
F,M,132,104,2005
A,M,136,107,2005
A,F,135,106,2005
A,M,132,91,2005
F,M,137,121,2005
A,F,130,95,2005
A,F,129,98,2005
A,F,130,96,2005
F,F,126,95,2005
U,F,125,92,2005
F,F,126,105,2005
A,F,127,119,2005
A,F,127,109,2005
A,F,126,109,2006
A,M,136,103,2005
A,M,135,118,2005
A,M,132,100,2005
F,M,129,108,2005
F,F,121,97,2005
F,M,130,100,2005
F,M,130,99,2005
F,M,123,91,2005
F,M,123,89,2005
A,F,132,109,2005
A,F,132,108,2005
A,M,137,105,2005
F,F,128,112,2005
F,M,130,101,2005
F,M,129,97,2005
A,M,131,114,2005
F,F,125,97,2005
A,M,136,95,2005
A,M,138,106,2005
F,M,126,96,2005
A,F,129,96,2005
A,F,126,98,2006
A,F,127,92,2006
A,F,126,93,2008
A,F,125,99,2008
A,F,128,85,2009
A,F,128,92,2009
F,M,133,102,2005
F,M,130,106,2005
F,F,129,103,2005
J,M,128,96,2013
J,M,129,94,2013
J,M,129,97,2013
F,M,128,105,2014
F,M,128,101,2014
U,M,,97,2014
J,M,125,88,2013
J,M,125,88,2013
A,M,129,107,2015
A,F,126,103,2013
A,F,128,103,2014
